TECHPUBLAYERNAME,GEOCATUUID,STATUS (ZS),INGESTSTATE,TIMESTANDDATE,
ch.bafu.showme-gemeinden_lawinen,59d8e986-6d18-4f1e-aab8-07c3964b93ca,Published,Decommissioned,2019-01-01 00:00:00,C
ch.meteoschweiz.messwerte-lufttemperatur-24h-max-1h,59e85269-6b7d-47ad-96f6-e19149df10f8,Published,Productive,2018-03-09 00:00:00,A
ch.bafu.landesforstinventar-wirtschaftsregionen,5a1886a3-b107-4794-8784-3077e67dc568,Published,Productive,2020-11-16 00:00:00,A
ch.swisstopo.geologie-spezialkarten_schweiz.metadata,5a7e79b5-0aef-4514-9df4-62fb92edee97,Published,Productive,2011-01-01 00:00:00,A
ch.astra.ausnahmetransportrouten,5aa6303c-71e3-4ca5-ab67-cd913a81a1ee,Published,Decommissioned,2016-07-13 00:00:00,C
ch.swisstopo.swiss-map-vector1000,5aaeb9b9-0134-42ae-b39d-f9790f725204,InProgress,Productive,2022-01-01 00:00:00,A
ch.bakom.notruf-143_zentral,5b41971f-599c-415e-9445-75b59f22a0bf,Published,Productive,2021-06-01 00:00:00,A
ch.bafu.bundesinventare-auen_anhang2,5b5b3700-245d-4c15-aabb-5fb177860db5,Published,Productive,2017-11-01 00:00:00,A
ch.bfe.energieforschung,5bbd5006-448d-48ce-86ec-d7d285257534,Published,Productive,2021-01-04 00:00:00,A
ch.swisstopo.swisssurface3d,5cb73a88-887c-432d-b3a4-f4ea2b508a51,Published,Productive,2019-02-07 00:00:00,A
ch.are.belastung-personenverkehr-strasse_zukunft,5cd6d93e-3fbc-4ce9-b32b-136affb6baca,Published,Productive,2021-06-30 00:00:00,A
ch.bafu.hydrologie-niedrigwasserstatistik,5cfc8b95-c901-44b9-baa3-b768a5edb647,Published,Productive,2013-01-01 00:00:00,A
dk.dalo.landeskarte-100,5d30c8cd-daa0-4b8c-a495-614861676ef0,Published,Productive,2018-08-30 00:00:00,A
ch.bafu.wald-tannenareale,5d6af36c-f883-4421-a2f0-a1934ca60a69,Published,Productive,2020-06-03 00:00:00,A
ch.meteoschweiz.messwerte-taupunkt-10min,5d6f8794-bf59-458e-a16c-aeb98df5d6c8,Published,Productive,2018-03-09 00:00:00,A
ch.swisstopo.landeskarte-farbe_winter_50,5d814def-a1c4-44b9-ba95-76d1dadafc76,Published,NotProductive,2021-11-01 00:00:00,B
ch.bafu.bundesinventare-trockenwiesen_trockenweiden_anhoerung,5daa3c3c-8bbd-4a00-bf3e-363f755a3419,Published,Decommissioned,2021-01-01 00:00:00,C
ch.bafu.wald-vegetationshoehenstufen_1995,5de3fb01-5d2e-4fbd-9397-a2bcd97977e7,Published,Productive,2021-09-22 00:00:00,A
ch.bafu.gefahren-waldbrand_praeventionsmassnahmen_kantone,5deca805-ace4-4401-9750-cb1b02f5a292,InProgress,NotProductive,2023-02-06 00:00:00,B
ch.bafu.gewaesserschutz-klaeranlagen_ausbaugroesse,5e06e47a-8d78-440f-b98e-e46cfa52c474,Published,Productive,2014-01-01 00:00:00,A
ch.swisstopo.geologie-geomol-temperaturverteilung_1000,5e32ea72-a356-4250-b40a-a441165fd936,Published,Productive,2020-03-03 00:00:00,A
ch.bafu.showme-kantone_lawinen,5e412b36-88c4-4996-b69d-7064f1df3c18,Published,Decommissioned,2019-01-01 00:00:00,C
ch.bafu.grundwasserschutzareale,5e47b303-2ac4-48b9-b88d-51a4c0cb30b4,Published,Decommissioned,2013-10-01 00:00:00,C
ch.bafu.bundesinventare-amphibien_anhoerung,5e5e89fb-a0a5-46bc-a119-3f2129053a33,Published,Decommissioned,2017-11-01 00:00:00,C
ch.bafu.niederschlagserosivitaet-sep,5eda53ff-5566-4a22-964c-7855583f6a81,Published,Productive,2019-10-02 00:00:00,A
ch.bakom.notruf-117_zentral,5ee5430f-1bd8-4027-a3fa-9df0d716da61,Published,Productive,2021-06-01 00:00:00,A
us.nga.flughaefen-welt,5ef63329-a6c3-4232-b9b5-ca1f6be6b82d,Published,Productive,2016-11-10 00:00:00,A
nato.kosovo-railway,5f3761d0-b78c-41ae-bd04-502c71b021af,InProgress,Productive,2020-12-16 00:00:00,A
ch.swisstopo.pixelkarte-farbe-pk200.noscale,5f75341e-2050-4ed9-a8de-ee7637490565,Published,Productive,2021-11-18 00:00:00,A
ch.swisstopo.vec25-einzelobjekte,5fb1376e-554a-4bcc-9c1d-e0b9b39d7aaa,Published,Productive,2008-01-10 00:00:00,A
ch.bazl.luftraeume-kontrollbezirke,5fd1a95b-8f2c-4fff-8038-a7b2922488ad,Published,Productive,2022-03-24 00:00:00,A
ch.bafu.erosion-gruenland_bodenabtrag_apr,6007a86c-7e1d-4f3c-a7d9-4eae01cac9c0,Published,Productive,2019-04-01 00:00:00,A
ch.swisstopo-vd.geometa-nfgeom,601959f6-8345-429e-884c-8f0d37c414da,Published,Productive,2016-11-30 00:00:00,A
ch.bakom.versorgungsgebiet-ukw,60a2fcd0-3a04-4fea-9bae-c3e0f9b31604,Published,Productive,2007-07-04 00:00:00,A
ch.babs.kulturgueter-anhoerung,60ca4670-dcc2-4dfd-b86b-c27888074093,Published,Decommissioned,2022-08-31 00:00:00,C
ch.ensi.zonenplan-notfallschutz-kernanlagen,60e40dd3-a00b-4b34-a9c6-8813f21711b9,Published,Productive,2012-01-01 00:00:00,A
ch.bafu.klima-co2_ausstoss_gebaeude,60ea1623-d68f-4deb-bce0-850a19b67e22,InProgress,NotProductive,2022-12-14 00:00:00,B
ch.swisstopo.geologie-geomol-temperatur_top_omalm,613cdc6f-0237-416d-af16-ae5d2f1934ff,Published,Productive,2020-03-03 00:00:00,A
ch.bafu.hydroweb-messstationen_grundwasser,6146dc21-18b6-4d94-8865-8c2b99256e1b,Published,Productive,2015-06-30 00:00:00,A
ch.swisstopo.geologie-geodaesie-bouguer_anomalien,618c9697-129f-47c7-830a-7a256b4c2499,Published,Productive,2011-04-06 00:00:00,A
ch.are.gueteklassen_oev,61a79435-b986-495e-b3ea-fe97c4abd558,Published,Productive,2023-03-22 00:00:00,A
ch.bafu.wald-lufttemperatur_juli_2085_maessig,621e25f1-a884-422a-887e-7774e935049b,Published,Productive,2021-01-01 00:00:00,A
si.mod.luftfahrtkarte-250,6225a0e1-6833-4a3f-8e9c-22ccdfb0fa66,Published,Productive,2018-11-18 00:00:00,A
ch.bafu.fauna-vernetzungsachsen_national,6241112d-25c1-48bb-a6bf-c8b98805b5fc,Published,Productive,2013-05-28 00:00:00,A
ch.swisstopo.swisstlm3d.3d,637e0bba-4275-4a25-808f-3a08239ff2c4,Published,Productive,2020-03-18 00:00:00,A
ch.swisstopo.geologie-geophysik-inklination,639c0536-bfea-44d3-b088-ed7b6b43cde9,Published,Productive,2011-11-28 00:00:00,A
ch.swisstopo.geologie-geomol-temperaturmodell_eingangsdaten,63ed59b1-d9fb-4c6e-a629-550c8f6b9bf2,Published,Productive,2020-03-03 00:00:00,A
ch.vbs.grunddispositiv-zeus,6441b459-e9c6-41a7-b88d-5529c3b1d003,Published,Productive,2014-01-16 00:00:00,A
ch.swisstopo.geologie-geoevents_demnaechst,64508bcc-8a66-4d90-bb9a-bc83c931b0c6,Published,Productive,2020-03-12 00:00:00,A
ch.vbs.patrouilledesglaciers-z_rennen,64d14c1a-25bb-4bf5-bad3-057823a334ef,Published,Productive,2019-05-29 00:00:00,A
ch.swisstopo.autofaehren,65007858-0bef-4204-b3f4-ab2154278347,Published,Productive,2021-03-19 00:00:00,A
ch.swisstopo.swissbathy3d,651fe1b8-ca54-41df-85ec-e8b9035f99a1,Published,Productive,2022-12-14 00:00:00,A
ch.swisstopo.geologie-geotechnik-gk500-genese,65652bdd-76e3-4df2-9329-140a04a2a66c,Published,Productive,2006-03-04 00:00:00,A
ch.bakom.downlink10,662ddb1a-b016-4d66-97dc-3f97fe092d39,Published,Productive,2020-10-31 00:00:00,A
ch.swisstopo.vec25-heckenbaeume,664aacf5-91f8-43b1-a6b4-f01eca6cc082,Published,Productive,2008-01-10 00:00:00,A
ch.bafu.hydroweb-messstationen_vorhersage,6655ccdb-fb9b-4049-8bf5-4d5a0b3bfe4f,Published,Productive,2015-06-30 00:00:00,A
ch.vbs.verpflegung,6672270a-450c-4b69-9c3a-7e134d74d4b4,InProgress,NotProductive,2018-10-25 00:00:00,B
ch.bafu.erosion-gruenland_bodenabtrag_aug,6672872c-a579-42e1-b7d4-35d706b61cfb,Published,Productive,2019-04-01 00:00:00,A
de.zgeobw.luftfahrtkarte-500-nacht,667c151c-8ea1-43dd-8f77-d295f10101f8,Published,Productive,2018-04-05 00:00:00,A
ch.bafu.wald-wasserverfuegbarkeit_pflanzen,668e4c81-5926-4457-9097-b362244b2660,Published,Productive,2018-12-31 00:00:00,A
ch.swisstopo.swiss-map-vector10,66b36053-e5c9-45b3-8049-22f037fbe8be,Published,Productive,2017-01-01 00:00:00,A
ch.vbs.waffen-schiess-uebungsplaetze,66f7f746-3ed0-4c86-b0a2-c8d9ff96ff5e,InProgress,NotProductive,2021-07-15 00:00:00,B
ch.swisstopo.vec25-anlagen,67047f47-13d7-491a-bb7e-bb2c8016582d,Published,Productive,2008-01-10 00:00:00,A
ch.swisstopo.strassenkarte200_papier.metadata,6749c3c9-f8eb-413c-9168-ad5860dc2e7f,Published,Decommissioned,2021-12-02 00:00:00,C
ch.meteoschweiz.klimaszenarien-raumklima,6791cfd3-d53b-4ea3-bb43-8c6fd0db08b7,Published,Productive,2021-12-01 00:00:00,A
ch.swisstopo-vd.geometa-periodische_nachfuehrung,67e2ea0a-868f-445e-848a-c33eb1528ec5,Published,Productive,2016-11-30 00:00:00,A
ch.bfs.generalisierte-grenzen_agglomerationen_g1,68924d22-bc42-425e-bbcc-a2f75c5c796c,Published,Productive,2022-01-01 00:00:00,A
ch.blw.hang_steillagen,689dcf53-f025-4ea2-890a-dfcebca5812f,Published,Productive,2017-10-27 00:00:00,A
ch.meteoschweiz.klimanormwerte-temperatur_aktuelle_periode,68adbf85-b4b1-4ce6-9c1c-e7b895d885ec,Published,Productive,2021-11-25 00:00:00,A
ch.bfe.baulinien-starkstromanlagen_aenderung_v2_0.oereb,68b1b189-8915-413b-a7f2-db17f311b032,Published,Productive,2021-12-15 00:00:00,A
ch.bafu.naqua-isot_messstellen,68fc24ca-f3a4-45a2-8088-394d6f214c81,InClarification,NotProductive,2019-12-31 00:00:00,B
ch.bafu.bundesinventare-flachmoore_regional,69077456-55ba-41f3-af49-debf4bb5324e,Published,Decommissioned,2017-11-01 00:00:00,C
ch.swisstopo.swissalti3d,691cb471-c3b5-48ec-a107-d0ad612fa70b,Published,Productive,2022-10-21 00:00:00,A
ch.bakom.uplink1000,69404fc3-9be6-4479-a09e-48f47e51588f,Published,Productive,2020-10-31 00:00:00,A
ch.vbs.rekrutierungszentrum-san,6987b714-5d7c-40b4-a43e-d599362db981,InProgress,Productive,2022-03-18 00:00:00,A
ch.bafu.showme-kantone_hochwasser,69a1bf2e-e07b-46f6-bdb7-a11a1f87c00a,Published,Decommissioned,2019-01-01 00:00:00,C
ch.bfe.windenergie-geschwindigkeit_h50,69f9bf6d-f168-4250-8c5a-77398fa750cb,Published,Productive,2018-10-01 00:00:00,A
ch.vbs.schnittholzlager,6a19ebda-c47a-4bed-8a56-667f726781e3,InProgress,NotProductive,2018-10-25 00:00:00,B
ch.meteoschweiz.hagelgefaehrdung-korngroesse_50_jahre,6a87d3b6-aec7-4905-94b9-894fb20bb6af,Published,Productive,2021-04-01 00:00:00,A
ch.bav.baulinien-eisenbahnanlagen_v2_0.oereb,6acc5b2d-cff8-4ff5-866b-6aefc318e887,Published,Productive,2021-12-15 00:00:00,A
nato.kosovo-tlm-250,6ad5acc7-f25b-48e6-a8f2-1ef217f2f362,InProgress,Productive,2021-12-15 00:00:00,A
ch.swisstopo.landeskarte1000_papier.metadata,6b3abe3d-90a6-444d-ae9a-3b21ce73b13d,Published,Decommissioned,2015-10-01 00:00:00,C
ch.bafu.neophyten-amerikanische_kermesbeere,6b47b850-b095-4a7b-9c5c-b116dca99a11,Published,Productive,2015-10-07 00:00:00,A
pl.mond.luftfahrtkarte-500,6b58f5d8-a69d-45c0-96b8-8c23701b4e73,Published,Productive,2017-08-01 00:00:00,A
ch.bafu.gefaehrdungskarte-oberflaechenabfluss,6b59f9ee-9e5f-4b12-86cf-f8afb539ae5d,Published,Productive,2018-05-22 00:00:00,A
at.koeppen-geigerwelt.klimazonen,6b95358e-c806-4270-83b4-b9a9b505255d,InProgress,Productive,2021-03-18 00:00:00,A
ch.bafu.oekomorphologie-f,6ba5de99-ad8f-46e4-be6d-81e6157add5d,Published,NotProductive,2008-09-13 00:00:00,B
ch.vbs.militaerische-stadtplaene_schweiz,6c2708ce-2159-4b70-9cff-f7dbd359e50b,Published,Productive,2016-04-20 00:00:00,A
ch.bfe.abgeltung-wasserkraftnutzung,6c5acaa7-ac82-414a-a2bc-490f60c82580,Published,Productive,2011-09-08 00:00:00,A
ch.blw.bodeneignung-wasserspeichervermoegen,6caf4d0f-52da-433a-809f-92781316ad0e,Published,Productive,2008-10-24 00:00:00,A
ch.blw.emapis-oekologie,6cc31bc6-b705-4d3e-aa31-e8d40303c606,Published,Decommissioned,2019-06-06 00:00:00,C
ch.bafu.wasser-teileinzugsgebiete_2,6d9c8ba5-2532-46ed-bc26-0a4017787a56,Published,Productive,2019-12-01 00:00:00,A
ch.swisstopo.geologie-geotechnik-gk200,6dd16d72-047b-4489-91dc-b36eeabf972e,Published,Productive,1967-01-01 00:00:00,A
ch.bafu.holzvorrat,6dd17a4c-c510-4a14-9e78-6a58c552a7a0,Published,Decommissioned,2010-03-10 00:00:00,C
ch.blw.landwirtschaftliche-zonengrenzen,6e4544bc-55f4-4aef-b36a-e36fe376eaf8,Published,Productive,2015-07-08 00:00:00,A
ch.bafu.neophyten-bastardindigo,6ec3f114-b0fe-4bc0-8100-554ccc29ca83,Published,Productive,2015-10-07 00:00:00,A
ch.bafu.sturm-staudruck_30,6edc63b6-f56b-4fb6-8ba3-1506bea16ec8,Published,Productive,2014-11-07 00:00:00,A
ch.swisstopo.geologie-geomol-isotherme_60,6edca35d-0f08-43b9-9faf-4c7b207888a1,Published,Productive,2020-03-03 00:00:00,A
ch.swisstopo.geologie-geoevents_anfrage,6f4fc3a9-8dc0-4cc2-b176-f804e5157dab,Published,Productive,2020-03-12 00:00:00,A
ch.vbs.austauschstelle,6f789f52-242c-4c28-a644-07dc62e552b9,InProgress,NotProductive,2018-10-25 00:00:00,B
ch.are.belastung-personenverkehr-bahn,6fa32c65-988d-4e09-8034-6c5abcbd4e3f,Published,Productive,2021-06-30 00:00:00,A
ch.meteoschweiz.messwerte-niederschlag-1d,70498706-eba2-4621-8c4c-91a4a98801ed,Published,Productive,2018-03-09 00:00:00,A
ch.meteoschweiz.messwerte-niederschlag-10min,70a66635-768f-40d1-8370-65734a1060e7,Published,Productive,2018-03-09 00:00:00,A
ch.astra.ivs-nat,70b6e2ac-c7ea-4699-a22e-65792aa3b0b9,Published,Productive,2015-12-31 00:00:00,A
ch.vbs.lager,70ea2fb9-4c38-4849-a214-a63fb9306aa8,InProgress,NotProductive,2018-10-25 00:00:00,B
no.mgs.luftfahrtkarte-250,714f34f7-1ad1-419d-891d-c5696e136bc1,Published,Productive,2016-10-29 00:00:00,A
ch.bfe.sachplan-geologie-tiefenlager,7162f14b-4c16-4ec3-8ac6-b158136e65c7,Published,Productive,2018-11-22 00:00:00,A
ch.bafu.neophyten-besen_radmelde,717a8bc4-e8da-4f7d-a4a0-36d06b638182,Published,Productive,2015-10-07 00:00:00,A
ch.bafu.permafrost,71d087ef-6531-4131-98ea-88ff655d8a63,Published,Productive,2005-10-31 00:00:00,A
ch.swisstopo.vec25-uebrigerverkehr,721be44e-0ead-48e9-94e5-725c42749a77,Published,Decommissioned,2008-01-10 00:00:00,C
ch.bafu.erosion-gruenland_bodenabtrag_mrz,7225cd4b-363a-44a0-822c-9c37e0a6930b,Published,Productive,2019-04-01 00:00:00,A
ch.bfe.sachplan-geologie-tiefenlager-thematische-darstellung,72287c7e-9883-46a7-b115-c32ea49f25a0,Published,Decommissioned,2018-11-22 00:00:00,C
ch.bafu.fischerei-krebspest,722d70aa-8404-47ca-ae5d-1e521e4229e9,Published,Productive,2011-01-07 00:00:00,A
ch.swisstopo.geologie-geodaesie-isostatische_anomalien,7234896a-842c-4524-8710-5d900953cb1d,Published,Productive,2010-10-19 00:00:00,A
ch.bazl.kataster-belasteter-standorte-zivilflugplaetze_v2_0.oereb,72a1ca16-02d2-4793-9422-0c066036239b,Published,Productive,2021-12-15 00:00:00,A
ch.swisstopo.geologie-gravimetrischer_atlas,732cb247-8307-4cc7-8c31-b1c505a94633,Published,Productive,2002-12-31 00:00:00,A
ch.swisstopo.swisstlm3d.metadata,73611a70-7512-4650-b850-33f65bae5ccc,Published,Decommissioned,2016-03-15 00:00:00,C
ch.swisstopo.swisstlm3d,73856ca2-f21d-4cc9-90f6-f3e8375555df,InProgress,Productive,2023-03-08 00:00:00,A
ch.swisstopo.lubis-bildstreifen,7392cfbf-2f3b-446f-934f-604bc9410978,Published,Productive,2019-09-17 00:00:00,A
ch.swisstopo.geologie-geomol-temperaturverteilung_4000,739e9095-77f6-462d-9a1e-438898cf0c9c,Published,Productive,2020-03-03 00:00:00,A
ch.bafu.niederschlagserosivitaet-okt,73d7de96-ba8c-4b89-946a-97733df8f4f9,Published,Productive,2019-10-02 00:00:00,A
ch.bafu.neophyten-amerikanischer_stinktierkohl,7401635a-ad22-473a-a9b8-17165f6c814e,Published,Productive,2015-10-07 00:00:00,A
ch.bafu.hydrologie-hochwasserstatistik,74936192-7935-4686-86ad-c7c795d31b44,Published,Productive,2014-01-01 00:00:00,A
ch.swisstopo.pixelkarte-grau,74aef814-0c97-4261-a2c1-df4a948aca8e,Published,Productive,2019-01-01 00:00:00,A
ch.bfe.kernkraftwerke,74e0e4a7-165a-414d-b1a5-1921162f04ab,Published,Productive,2019-12-20 00:00:00,A
org.openstreetmap.parkhaeuser,758c5b9b-fe0e-469d-975f-20ef6726a8ed,Published,Productive,2019-05-16 00:00:00,A
ch.swisstopo.geologie-eiszeit-lgm,75c2f212-413c-4d55-8a93-c021c8bbfc95,Published,Productive,2011-03-18 00:00:00,A
ch.bafu.mittlere-abfluesse,75c48c9d-34ec-4a11-bdd8-6dc019f0ec9e,Published,Productive,2000-12-31 00:00:00,A
ch.bafu.aquaprotect_500,7609e210-80c7-4acc-b7b4-b569f0e5679e,Published,Productive,2008-12-18 00:00:00,A
ch.bafu.erosion-gruenland_bodenabtrag_nov,7681e749-7e18-4304-ba20-c9ca757a8794,Published,Productive,2019-04-01 00:00:00,A
se.lfv.luftfahrtkarte-250,76b4bb0b-86f2-4647-9d02-d66ffd9738a3,Published,Productive,2019-09-12 00:00:00,A
ch.swisstopo.geologie-gisgeol-flaechen-100to1000km2,77298a16-a7a4-407f-a27b-a0169757f20d,Published,Decommissioned,2015-01-01 00:00:00,C
ch.blw.gewaesseranschlusskarte,77c1fecd-d698-442f-b957-65664297b26d,Published,Productive,2012-12-01 00:00:00,A
ch.swisstopo.hangneigung-ueber_30,77f0637f-8d52-45bc-b824-d6e5719de55b,Published,Productive,2016-01-01 00:00:00,A
ch.blw.emapis-beizugsgebiet,781e7f5a-a99f-4d91-95fb-8428ff9c95e0,Published,Decommissioned,2019-06-06 00:00:00,C
ch.meteoschweiz.messnetz-klima,7868ec31-74fc-48ca-94bf-62237c4800a8,Published,Productive,2018-03-09 00:00:00,A
ch.meteoschweiz.messwerte-pollen-eiche-1h,78a41177-6125-4f11-ac8b-4ec6166dad70,Published,Productive,2018-03-09 00:00:00,A
ch.bazg.grenzwachtregionen,78a88482-9a94-4bec-9dab-bc5ba83eb4b6,InProgress,NotProductive,2022-03-31 00:00:00,B
ch.swisstopo.pixelkarte-pk25.metadata,78f00172-59ec-4b38-9106-cdddfb40e514,Published,Productive,2019-01-01 00:00:00,A
ch.bav.laermbelastung-eisenbahn_zulaessige_immissionen_nacht,79b73ff5-e8af-4f26-82b6-6d3eda65fc30,Published,Productive,2019-02-17 00:00:00,A
ch.meteoschweiz.messnetz-flugwetter,7a069711-0dbf-45c4-9b43-60b66d407e74,Published,Productive,2018-03-09 00:00:00,A
ch.swisstopo.fixpunkte-lfp1,7a49183b-9766-40dd-936c-fb09fdded185,Published,Productive,2020-01-16 00:00:00,A
ch.meteoschweiz.messwerte-pollen-esche-1h,7ad27023-2cfd-4103-b68b-a57288837557,Published,Productive,2018-03-09 00:00:00,A
ch.swisstopo.pixelkarte-pk100.metadata,7afe40b9-3906-47da-9cb4-8456a6432a6e,Published,Productive,2019-01-01 00:00:00,A
ch.swisstopo.geologie-gisgeol-flaechen-1000to21000km2,7b700642-f46b-44f9-895c-efb1435014b9,Published,Decommissioned,2015-01-01 00:00:00,C
ch.bafu.silvaprotect-uebersarung,7c608bf9-bddf-490b-8a46-3415f3c74cf3,Published,Productive,2006-07-01 00:00:00,A
ch.bafu.hydroweb-messstationen_gefahren,7c64e2fa-1afe-41f4-9f91-ed251079965c,Published,Productive,2015-06-30 00:00:00,A
ch.vbs.milairspacechart,7cc94b45-7104-4187-92ea-d1f9a1f838ba,Published,Productive,2022-03-24 00:00:00,A
ch.swisstopo.pixelkarte-pk50.metadata,7cd16f54-34e9-43ba-b65c-39461c03495e,Published,Productive,2019-01-01 00:00:00,A
ch.bav.baulinien-eisenbahnanlagen.oereb,7d5efc01-24bc-47e5-aa9a-b3a7faf4e697,Published,Decommissioned,2021-12-15 00:00:00,C
ch.bafu.wald-lufttemperatur_juli_2085_gering,7d63d7e7-66fa-4889-92b9-84c432140e8d,Published,Productive,2021-01-01 00:00:00,A
ch.bazl.laermbelastungskataster-zivilflugplaetze_helikopter,7d6f8271-37ef-40e2-a7c0-8014100697b8,Published,Productive,2022-06-30 00:00:00,A
ch.vbs.kataster-belasteter-standorte-militaer.oereb,7d733ab6-ae8f-4a6c-bf31-b379d8e6ac4f,Published,Decommissioned,2021-12-15 00:00:00,C
ch.bafu.karst-unterirdische_fliesswege,7db32f1d-691d-4d2d-a842-ee188210acf6,Published,Productive,2016-03-01 00:00:00,A
ch.swisstopo.lubis-terrestrische_aufnahmen,7e0b1343-0d6c-4d3d-9c63-9ed49ca2c0a9,Published,Productive,2022-07-15 00:00:00,A
ch.bafu.showme-gemeinden_rutschungen,7e1a39c8-69ad-4956-9a7b-57e357299fa4,Published,Decommissioned,2019-01-01 00:00:00,C
ch.bafu.gewaesserschutz-chemischer_zustand_doc,7ecace17-ab1a-4629-b80c-cb8599e8d07b,Published,Productive,2015-12-31 00:00:00,A
ch.bafu.bundesinventare-moorlandschaften,7ed73e2f-0a41-4e8b-a7ff-413f2d9b5ece,Published,Productive,2017-11-01 00:00:00,A
ch.swisstopo.digitales-hoehenmodell_25,7eeb5314-f988-4e70-be61-07bfafc10439,Published,Productive,2001-07-01 00:00:00,A
ch.astra.unfaelle-personenschaeden_getoetete,7ef105ec-9192-4029-abb6-7112f0f4187b,Published,Productive,2022-02-27 00:00:00,A
ch.bakom.notruf,7f3287d8-6ae7-491c-b8e1-1d9f81b194b4,Published,Productive,2021-06-01 00:00:00,A
ch.swisstopo.digitales-hoehenmodell_25.metadata,7f6ba579-1917-4868-966a-ba91ac157612,Published,Decommissioned,2001-07-01 00:00:00,C
ch.vbs.bundestankstellen-bebeco,7f8c99f2-7736-4fe6-8d69-0af201f01526,Published,Productive,2021-05-11 00:00:00,A
ch.swisstopo.geologie-grundwasservulnerabilitaet_papier.metadata,7f8e47fa-cd31-4ff2-808e-6262aaea019b,Published,Decommissioned,2016-01-01 00:00:00,C
ch.bafu.niederschlagserosivitaet-jul,7fd70db8-3128-4734-99ac-b1cf46cfcad8,Published,Productive,2019-10-02 00:00:00,A
ch.meteoschweiz.messwerte-luftdruck-700hpa-flaeche-10min,800943fd-596a-458c-a570-1c1137451d5f,Published,Productive,2018-03-09 00:00:00,A
nato.kosovo-road-network,8092f614-3b38-45fb-ad64-60e281452ed0,InProgress,Productive,2020-12-16 00:00:00,A
ch.sgpk.maechtigkeit-lockergesteine,8097719b-8fca-49be-bfd5-e0916be08848,Published,Decommissioned,2021-09-20 00:00:00,C
ch.swisstopo.hebungsraten,80a03e2f-7827-4497-8f0a-62ab8816d609,Published,Productive,2016-01-01 00:00:00,A
ch.bafu.wasserbau-vermessungsstrecken,80a307f9-c24b-4ec2-adab-9e0c9e251f88,Published,Productive,2023-01-20 00:00:00,A
ch.kkpks.konkordatgrenzen,80ad5683-0dac-49d4-aa6d-dfe55d725451,InProgress,Productive,2022-01-14 00:00:00,A
es.dm.luftfahrtkarte-500,80c680fe-c31e-41fa-8e9a-4cb272d90871,Published,Productive,2017-10-02 00:00:00,A
ch.bav.sachplan-infrastruktur-schiene_kraft,80d0a3a6-56a3-408a-8964-6a48a500678e,Published,Productive,2022-12-09 00:00:00,A
ch.bafu.neophyten-japanischer_staudenknoeterich,80daeffb-34ec-4c35-8b6c-b34bda79a3db,Published,Productive,2015-10-07 00:00:00,A
ch.bafu.gefahren-baugrundklassen,812485e6-821c-412d-8504-459c6b314d1c,InProgress,Productive,2023-01-12 00:00:00,A
ch.bafu.hydroweb-messstationen_grundwassertemperatur,81345667-1dff-404a-a80c-74dd87d11134,Published,NotProductive,2015-06-30 00:00:00,B
ch.blw.klimaeignung-kulturland,8148d26b-7aae-48b1-8c02-a391c33f59a7,Published,Productive,2008-10-24 00:00:00,A
ch.bafu.erosion-gruenland_bodenabtrag_mai,8162b6fe-e9e4-4864-9f17-72e372a5f55a,Published,Productive,2019-04-01 00:00:00,A
org.openstreetmap.welt,818e695b-a7cd-4338-99da-8e53136ce429,InProgress,Productive,2022-08-04 00:00:00,A
uk.worldpop.welt-bevoelkerung,8192a627-a4a1-4cfe-82e6-3e11ed5a9333,InProgress,Productive,2022-09-20 00:00:00,A
ch.swisstopo.swissbathy3d-reliefschattierung,81949e93-f552-42b6-ab4b-5a2d529a7768,Published,Productive,2022-12-14 00:00:00,A
ch.swisstopo.generalkarte300_papier.metadata,81fa93b5-278e-4722-929b-cb388248e1a5,Published,Decommissioned,2021-12-02 00:00:00,C
ch.bfs.landschaftswandel,826921fb-2bf7-44af-a71a-af56bda3dd6d,Published,Productive,2020-05-30 00:00:00,A
es.dm.luftfahrtkarte-250,82d32735-6845-4322-a4b5-954c90ed49c9,Published,Productive,2017-10-04 00:00:00,A
gb.harvard.welt-pipeline,82e6507b-257b-4baf-8cd4-d3c5818fd755,Published,Productive,2021-02-03 00:00:00,A
ch.bafu.waldschadenflaechen-lothar,82f9d51a-7050-4ef2-8bcf-6364967eb845,Published,Productive,2000-10-01 00:00:00,A
ch.bag.zecken-fsme-faelle,836e4e0e-f2b5-4cbc-a20a-62fca7fd2ebe,InProgress,Productive,2022-03-10 00:00:00,A
ch.meteoschweiz.messwerte-niederschlag-48h,83a919bf-530b-4d2b-9a53-69d579eb693c,Published,Productive,2018-03-09 00:00:00,A
ch.bafu.sturm-boeenspitzen_30,83d7e62e-2e5e-4877-8434-93f0cabc6438,Published,Productive,2014-11-07 00:00:00,A
ch.bafu.hydrologie-q347,83e6752a-e668-4ade-9ad5-fd9d555d35da,Published,Productive,2000-01-01 00:00:00,A
ch.bav.sachplan-infrastruktur-schiene_ausgangslage,83fe1cb9-686d-49d0-929e-995bca687c25,Published,Productive,2022-12-09 00:00:00,A
ch.bav.haltestellen-oev,841d42ff-8177-4e07-a96b-e8e5455ae048,Published,Productive,2020-12-13 00:00:00,A
ch.bafu.wald-wasserverfuegbarkeit_boden,843579c9-927b-4691-b4b4-aa3a90c98007,Published,Productive,2018-12-31 00:00:00,A
